"Label (Grouping)","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error"
"Total:","90,873","±4,226","144,148","±5,615","258,350","±7,305"
"    Less than 10.0 percent","2,977","±770","6,537","±1,267","9,867","±1,646"
"    10.0 to 14.9 percent","8,826","±1,526","16,877","±2,291","24,110","±2,813"
"    15.0 to 19.9 percent","9,347","±1,659","21,854","±2,825","25,690","±2,533"
"    20.0 to 24.9 percent","13,260","±2,035","19,016","±2,350","25,246","±2,763"
"    25.0 to 29.9 percent","8,770","±1,519","14,884","±2,138","26,105","±2,957"
"    30.0 to 34.9 percent","7,973","±1,453","10,196","±1,804","20,800","±2,445"
"    35.0 to 39.9 percent","5,387","±1,152","7,535","±1,561","15,383","±2,340"
"    40.0 to 49.9 percent","8,087","±1,767","9,901","±1,750","20,048","±2,115"
"    50.0 percent or more","21,424","±2,456","30,776","±2,716","69,244","±4,371"
"    Not computed","4,822","±1,067","6,572","±1,435","21,857","±3,168"